"Start              |Goal                |BFS Time            |DFS Time            "
205                 |535                 |0.32399797439575195 |0.003999471664428711
1015                |1113                |0.0029997825622558594|0.06202888488769531 
64                  |1094                |0.0009999275207519531|0.1120004653930664  
1434                |2327                |0.16399812698364258 |0.40276670455932617 
62                  |287                 |0.07999801635742188 |0.014002084732055664
2572                |1613                |0.0739738941192627  |0.2220020294189453  
2027                |2216                |0.0009996891021728516|0.19002604484558105 
897                 |1402                |0.0710439682006836  |0.11500024795532227 
1585                |1652                |0.008001565933227539|0.14401650428771973 
2133                |1224                |0.13300251960754395 |0.11697149276733398 
1347                |28                  |0.23400259017944336 |0.00899958610534668 
2592                |2289                |0.011995077133178711|0.38007688522338867 
1886                |2337                |0.004999876022338867|0.3490004539489746  
2656                |1843                |0.4999959468841553  |0.22205471992492676 
1007                |1225                |0.11197257041931152 |0.004004001617431641
310                 |103                 |0.13602614402770996 |0.02200174331665039 
1324                |1683                |0.06897377967834473 |0.14399957656860352 
1767                |1772                |0.0                 |0.34257054328918457 
2178                |1583                |0.14051032066345215 |0.10997152328491211 
2105                |1334                |0.15099859237670898 |0.08551406860351562 
